LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH6089	3381	P21815	IBSP	3690_3685	P05106_P06756	ITGAV_ITGB3	16988024	CellChatDB;OmniPath
LRH6116	3381	P21815	IBSP	3685_3693	P06756_P18084	ITGAV_ITGB5	16988024	CellChatDB;OmniPath
LRH1242	3375	P10997	IAPP	117	P41586	ADCYAP1R1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1259	3375	P10997	IAPP	5745	Q03431	PTH1R	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1336	3375	P10997	IAPP	7253	P16473	TSHR	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1373	3375	P10997	IAPP	7433	P32241	VIPR1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1381	3375	P10997	IAPP	155	P13945	ADRB3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1443	3375	P10997	IAPP	154	P07550	ADRB2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1677	3375	P10997	IAPP	53831	Q9NQS5	GPR84	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1861	3375	P10997	IAPP	2843	Q99678	GPR20	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH2130	3375	P10997	IAPP	10268	O60896	RAMP3	25409149;24169554	CellTalkDB;IUPHAR/BPS;SingleCellSignalR;iTALK;talklr;OmniPath
LRH6133	3375	P10997	IAPP	10266	O60895	RAMP2	24169554;16531504	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH6852	3375	P10997	IAPP	10267	O60894	RAMP1	10385705;24169554	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH6867	3375	P10997	IAPP	799	P30988	CALCR	12529937;9487987;10342886;24169554	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRH7057	3375	P10997	IAPP	10203	Q16602	CALCRL		CellChatDB;OmniPath
LRH4373	3362	P50406	HTR6	25814	Q9UBB4	ATXN10	23027611	Cellinker;OmniPath
LRH4040	3360	Q13639	HTR4	2861	O15354	GPR37	28298427	Cellinker;OmniPath
LRH4792	3352	P28221	HTR1D	3350	P08908	HTR1A	11854302	Cellinker;OmniPath
LRH4791	3351	P28222	HTR1B	3350	P08908	HTR1A	11854302	Cellinker;OmniPath
LRH1014	3339	P98160	HSPG2	4035	Q07954	LRP1	7526899	CellTalkDB;SingleCellSignalR;OmniPath
LRH1141	3339	P98160	HSPG2	4036	P98164	LRP2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH2332	3339	P98160	HSPG2	2260	P11362	FGFR1	15096041;24509440;19591432	CellTalkDB;Cellinker;OmniPath
LRH2530	3339	P98160	HSPG2	3673	P17301	ITGA2	15240572	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH3016	3339	P98160	HSPG2	3688	P05556	ITGB1	9431988	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH5613	3339	P98160	HSPG2	6382	P18827	SDC1	32196115;939660	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH6478	3339	P98160	HSPG2	1305	Q5TAT6	COL13A1	11956183	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH6494	3339	P98160	HSPG2	5802	Q13332	PTPRS	11865065	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH7162	3339	P98160	HSPG2	1131	P20309	CHRM3		SingleCellSignalR;iTALK;talklr;OmniPath
LRH7219	3339	P98160	HSPG2	3688_3673	P05556_P17301	ITGA2_ITGB1		OmniPath
LRH7476	3339	P98160	HSPG2	1605	Q14118	DAG1		CellChatDB;OmniPath
LRH1043	3312	P11142	HSPA8	154	P07550	ADRB2	32196115;23798571	CellTalkDB;SingleCellSignalR;OmniPath
LRH1468	3312	P11142	HSPA8	4036	P98164	LRP2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH1632	3312	P11142	HSPA8	3949	P01130	LDLR	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH2064	3308	P34932	HSPA4	7099	O00206	TLR4	27925208	CellTalkDB;OmniPath
LRH1068	3303	P0DMV8	HSPA1A	2906	O15399	GRIN2D	32196115;10862698	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH2211	3303	P0DMV8	HSPA1A	7099	O00206	TLR4	22528050	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH1061	7184	P14625	HSP90B1	432	P07306	ASGR1	32196115;12167617	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH1066	7184	P14625	HSP90B1	7096	Q15399	TLR1	32196115;11584270	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH1315	7184	P14625	HSP90B1	51284	Q9NYK1	TLR7	32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH2390	7184	P14625	HSP90B1	54106	Q9NR96	TLR9	17275357	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH2664	7184	P14625	HSP90B1	7099	O00206	TLR4	11584270;11912201	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH2665	7184	P14625	HSP90B1	7097	O60603	TLR2	11584270;11912201	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH2723	7184	P14625	HSP90B1	4035	Q07954	LRP1	11861214;11290339	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH5414	7184	P14625	HSP90B1	2064	P04626	ERBB2	8617772;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRH4671	3326	P08238	HSP90AB1	2064	P04626	ERBB2	24189400;15632176;22939624;20650008	Cellinker;OmniPath
LRH0891	3320	P07900	HSP90AA1	1080	P13569	CFTR	9843494	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH1247	3320	P07900	HSP90AA1	3690	P05106	ITGB3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRH2274	3320	P07900	HSP90AA1	2261	P22607	FGFR3	21487019	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH5463	3320	P07900	HSP90AA1	1956	P00533	EGFR	23956138;25402006;12006493;24658140;31980649;12471035;16849543;24189400;18199556;16024644;20029029	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH5514	3320	P07900	HSP90AA1	2064	P04626	ERBB2	26804907;22939624;22315411;23995768;11071886;12006493;20159553;20558745;24658140;21503962;18655187;32196115;15632176;24189400;17239458;16144943;25036637	CellTalkDB;Cellinker;SingleCellSignalR;OmniPath
LRH7625	3320	P07900	HSP90AA1	4035	Q07954	LRP1		CellTalkDB;OmniPath
LRH2761	3273	P04196	HRG	2065	P21860	ERBB3	10995872;24036211;26148232	CellTalkDB;OmniPath
LRH2828	3273	P04196	HRG	2064	P04626	ERBB2	10559227	CellTalkDB;OmniPath
